,ITEMID,UOM,BRANDID,CLASSIFY_STATE,SUBSTATE,STARTDATE,ENDDATE,RRP,DEAL,BUNDLE_QTY,BUNDLE_PRICE,EXCEL_PATH,EMAIL_PATH,CLAIM_NUMBER,VEN_ID,VEN_NAME,CLAIM_NUMBER_NEW
35,4333297,1,LL,STATE,WA,2023-03-01,2023-03-28,25.0,0.95,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Attachment/CL_230501_230701_A/LL PAF form wks 4851 100523.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Email/CL_230501_230701_A/re external robert oatley ll1c final supplier confirmation weeks 4851 2405 2006.eml,13,962280,ROBERT OATLEY VINEYARDS,10
36,4344420,1,LL,STATE,ACT,2023-02-01,2023-02-28,36.0,1.0,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LL PAF form wks 4447 130423.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external robert oatley ll1c final supplier confirmation weeks 4447 2604 2305.eml,14,962280,ROBERT OATLEY VINEYARDS,11
37,4344420,1,LL,STATE,NSW,2023-02-01,2023-02-28,36.0,1.0,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LL PAF form wks 4447 130423.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external robert oatley ll1c final supplier confirmation weeks 4447 2604 2305.eml,14,962280,ROBERT OATLEY VINEYARDS,11
38,4344420,1,LL,STATE,QLD,2023-02-01,2023-02-28,36.0,1.0,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LL PAF form wks 4447 130423.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external robert oatley ll1c final supplier confirmation weeks 4447 2604 2305.eml,14,962280,ROBERT OATLEY VINEYARDS,11
39,4344420,1,LL,STATE,SA,2023-02-01,2023-02-28,36.0,1.0,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LL PAF form wks 4447 130423.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external robert oatley ll1c final supplier confirmation weeks 4447 2604 2305.eml,14,962280,ROBERT OATLEY VINEYARDS,11
40,4344420,1,LL,STATE,VIC,2023-02-01,2023-02-28,36.0,1.0,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LL PAF form wks 4447 130423.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external robert oatley ll1c final supplier confirmation weeks 4447 2604 2305.eml,14,962280,ROBERT OATLEY VINEYARDS,11
41,4344420,1,LL,STATE,TAS,2023-02-01,2023-02-28,36.0,1.0,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LL PAF form wks 4447 130423.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external robert oatley ll1c final supplier confirmation weeks 4447 2604 2305.eml,14,962280,ROBERT OATLEY VINEYARDS,11
42,4344420,1,LL,STATE,NT,2023-02-01,2023-02-28,37.0,1.0,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LL PAF form wks 4447 130423.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external robert oatley ll1c final supplier confirmation weeks 4447 2604 2305.eml,14,962280,ROBERT OATLEY VINEYARDS,11
43,4344420,1,LL,STATE,WA,2023-02-01,2023-02-28,37.0,1.0,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LL PAF form wks 4447 130423.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external robert oatley ll1c final supplier confirmation weeks 4447 2604 2305.eml,14,962280,ROBERT OATLEY VINEYARDS,11
44,5383166,1,1C,NATIONAL,,2022-11-01,2022-12-06,15.0,0.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Attachment/CL_230501_230701_A/1C PAF form wks 2427 A 07122022 03012023.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Email/CL_230501_230701_A/re external robert oatley ll1c final supplier confirmation weeks 2427 07120301.eml,15,962280,ROBERT OATLEY VINEYARDS,12
45,5383166,1,LL,NATIONAL,,2022-11-09,2022-12-06,15.0,0.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Attachment/CL_230501_230701_A/LL PAF form wks 2427 A 07122022 03012023.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Email/CL_230501_230701_A/re external robert oatley ll1c final supplier confirmation weeks 2427 07120301.eml,16,962280,ROBERT OATLEY VINEYARDS,13
46,5383188,1,LL,NATIONAL,,2022-11-09,2022-12-06,15.0,0.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Attachment/CL_230501_230701_A/LL PAF form wks 2427 A 07122022 03012023.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Email/CL_230501_230701_A/re external robert oatley ll1c final supplier confirmation weeks 2427 07120301.eml,17,962280,ROBERT OATLEY VINEYARDS,14
47,5389107,1,LL,STATE,NSW ,2023-03-08,2023-03-28,14.0,1.0,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LL PAF Rolling April 2023.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re cumulus ll1c final supplier confirmation weeks 4447 2604 2305.eml,18,976371,CUMULUS VINEYARDS PTY LTD,1
48,39444,1,VC,National,,2023-06-29,2023-08-01,60.0,0.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Attachment/CL_230501_230701_A/VC PAF PC10 weeks 170523 to 270623.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Email/CL_230501_230701_A/re external pc10 paf.eml,19,12947,G.H.P.L.,19
49,39444,1,1C,NATIONAL,,2023-06-30,2023-07-18,60.0,0.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Attachment/CL_230501_230701_AM4/1C PAF form wks 4851 100523.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Email/CL_230501_230701_AM4/re external scan checker weeks 4851.eml,20,12947,G.H.P.L.,20
50,49283,1,VC,National,,2023-06-28,2023-08-01,24.0,1.0,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Attachment/CL_230501_230701_A/VC PAF PC1.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Email/CL_230501_230701_A/fw external re pc 1 robert oatley.eml,21,962280,ROBERT OATLEY VINEYARDS,18
51,74476,1,VC,National,,2023-06-28,2023-08-01,24.0,1.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Attachment/CL_230501_230701_A/VC PAF PC1.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Email/CL_230501_230701_A/fw external re pc 1 robert oatley.eml,21,962280,ROBERT OATLEY VINEYARDS,18
